Year,SO2 AQI,CO AQI,O3 AQI,NO2 AQI
2000,14.260907504363002,9.540095986038395,36.02268760907504,30.969851657940662
2001,12.83690891213015,8.79239295610977,37.64119066773934,31.310673102708503
2002,11.030905360348807,8.486406770966914,39.559160468496195,29.363725741643158
2003,11.32835130257739,8.246633658784878,36.63111378464671,28.3345981213271
2004,11.249550119157629,7.411069500510676,34.74120908516123,26.94032391420651
2005,11.18640649186172,6.8916459496224025,37.01791828885032,27.418406116609596
2006,10.00721763959391,6.965775697969543,36.20110247461929,26.995399746192895
2007,9.058892855904885,6.029741065548199,36.42479808658879,24.969219037055012
2008,7.3101314513161855,5.320299695621634,35.421012141686454,23.49162123289962
2009,5.444802331377737,5.169600061352046,32.95548142183366,21.7305111392308
2010,4.305225516207175,5.13807820971277,34.86230630214942,21.911869881185833
2011,4.213956367012224,4.824477796688845,34.810242921244004,21.220052607148382
2012,3.3398727465535525,4.604485060195871,35.62497660782235,20.400505271037364
2013,2.964111705288176,4.284551396316102,35.90938799762329,19.86901366607249
2014,3.0367839134924974,4.2424518559018285,36.879351193730635,19.446752931170646
2015,2.537576103500761,4.32210806697108,37.236713597158804,18.410166159309995
2016,2.186870328241794,4.446213844653884,33.73724406889828,20.074423139421516
