State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,Year Average
District Of Columbia,2014,0.012302943370023401,0.024595138173302097,0.0011325426370023416,0.3590386744730679,3.098360655737705,5.426229508196721,33.61826697892272,23.44496487119438,0.09926732466334894
District Of Columbia,2015,0.013236773227272732,0.026698127272727298,0.001288958130303031,0.27269433333333376,3.4363636363636365,4.290909090909091,37.00909090909091,24.37272727272727,0.0784795479909092
District Of Columbia,2016,0.012460649844827585,0.031057155172413795,0.0009886306206896552,0.2563609827586206,2.206896551724138,3.586206896551724,38.91379310344828,25.689655172413794,0.07521685459913792
Florida,2000,0.012453038323033704,0.026261261235955027,0.001983243971910111,0.7268843679775279,7.556179775280899,10.342696629213483,39.21910112359551,25.573033707865168,0.19189547787710667
Florida,2001,0.012362754173295453,0.02417337784090908,0.0011545261789772732,0.6402088920454543,6.167613636363637,9.011363636363637,35.04545454545455,25.056818181818183,0.16947488755965903
Florida,2002,0.011313961369146003,0.023168024793388444,0.0006695066418732784,0.4737055757575757,4.008264462809917,7.2809917355371905,33.815426997245176,23.1267217630854,0.12721426714049586
Florida,2003,0.01092981284254143,0.023416610497237575,0.0006633604640883975,0.4431073011049724,3.596685082872928,6.718232044198895,33.74033149171271,22.475138121546962,0.11952927122720994
Florida,2004,0.009516472522471904,0.025964044943820236,0.0006542492191011219,0.5225517247191014,3.359550561797753,7.23876404494382,36.418539325842694,20.867977528089888,0.13967162285112367
Florida,2005,0.008644359509695299,0.02701386703601109,0.0005279383213296393,0.5660768531855955,3.2742382271468142,7.67590027700831,36.770083102493075,18.861495844875346,0.1505657545131579
Florida,2006,0.008519962405479453,0.02919147945205478,0.00039632778082191773,0.39089588767123296,2.8465753424657536,5.747945205479452,40.07671232876712,19.4,0.10725091432739728
Florida,2007,0.006136312015089165,0.028464311385459514,0.0006673482441700962,0.2854687585733883,4.3401920438957475,3.9766803840877913,37.997256515775035,14.133058984910837,0.08018418255452678
Florida,2008,0.005214251262500001,0.027827562499999986,0.0005596426328125004,0.22404787812500007,3.9546875,3.0875,36.0203125,12.6734375,0.06441233363007814
Florida,2009,0.006027942123563223,0.028474347701149438,0.0001239616063218391,0.3387985344827584,1.2614942528735633,4.735632183908046,35.33620689655172,13.583333333333334,0.09335619647844821
Florida,2010,0.005672489389972142,0.02888202506963788,0.00015113194986072432,0.39486463509749303,1.0194986072423398,5.334261838440112,35.467966573816156,13.442896935933147,0.10739257037674095
Florida,2011,0.005361869504109586,0.02813100821917808,9.946578630136995e-05,0.4345282849315067,0.7698630136986301,5.767123287671233,35.95068493150685,12.715068493150685,0.11703015711027394
Florida,2012,0.005406926177595629,0.02690189617486341,6.115489071038249e-05,0.38386635245901635,0.5737704918032787,5.2103825136612025,33.478142076502735,12.806010928961749,0.10405908242554644
