Year,State,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,State Average
2000,Arizona,7.4795454545454545,15.169318181818182,39.04204545454545,47.127272727272725,27.204545454545453
2000,California,6.0457576454357325,11.268912393653714,32.71614164175673,29.99344676937227,20.00606461255461
2000,Colorado,21.50958904109589,11.558904109589042,27.553424657534247,32.75342465753425,23.343835616438355
2000,District Of Columbia,24.774725274725274,18.563186813186814,27.956043956043956,37.2967032967033,27.147664835164836
2000,Florida,7.556179775280899,10.342696629213483,39.21910112359551,25.573033707865168,20.672752808988765
2000,Illinois,24.583806818181817,11.079545454545455,24.0625,42.15482954545455,25.470170454545453
2000,Indiana,24.934131736526947,12.125748502994012,43.209580838323355,31.74251497005988,28.00299401197605
2000,Kansas,5.651761517615176,11.089430894308943,40.173441734417345,18.80081300813008,18.928861788617887
2000,Kentucky,22.781592403214024,3.481373265157049,42.83053323593864,26.823228634039445,23.97918188458729
2000,Louisiana,20.010928961748633,11.633879781420765,38.76775956284153,33.45628415300546,25.967213114754102
2000,Michigan,30.666666666666668,6.788888888888889,34.49444444444445,39.394444444444446,27.836111111111112
2000,Missouri,20.73317865429234,8.314771848414539,42.319412219644235,31.54447022428461,25.72795823665893
2000,New Jersey,21.122905027932962,10.005586592178771,31.18435754189944,34.65642458100559,24.242318435754193
2000,New York,21.138004246284503,8.386411889596603,30.809978768577494,36.51486199575371,24.212314225053078
2000,North Carolina,18.284530386740332,9.640883977900552,60.33425414364641,31.740331491712706,30.0
2000,Oklahoma,8.317164179104477,1.2798507462686568,49.73134328358209,13.432835820895523,18.190298507462686
2000,Pennsylvania,21.555417956656346,5.391950464396285,39.630650154798765,29.20185758513932,23.944969040247678
2000,Texas,14.282587064676617,8.492537313432836,38.6726368159204,32.40995024875622,23.464427860696517
2000,Virginia,24.589019607843138,9.696470588235295,33.52,30.08156862745098,24.471764705882354
2001,Arizona,5.88215859030837,13.253303964757709,34.919603524229075,41.486784140969164,23.885462555066077
2001,California,6.3330826259804445,10.6157730740303,34.300741377457825,30.47996131943698,20.432389599226386
2001,Colorado,23.98753894080997,11.925233644859814,27.118380062305295,48.03115264797508,27.76557632398754
2001,District Of Columbia,23.011461318051577,17.312320916905446,32.47277936962751,38.93409742120344,27.93266475644699
2001,Florida,6.167613636363637,9.011363636363637,35.04545454545455,25.056818181818183,18.8203125
2001,Illinois,27.491740787801778,9.833545108005083,31.935196950444727,37.9148665819568,26.793837357052098
2001,Indiana,18.786516853932586,5.842696629213483,50.28651685393258,30.837078651685392,26.43820224719101
2001,Kansas,5.313672922252011,6.345844504021447,36.83512064343164,19.412868632707774,16.97687667560322
2001,Kentucky,21.221153846153847,2.644230769230769,44.10288461538462,26.560576923076923,23.63221153846154
2001,Louisiana,18.54722222222222,12.7,35.672222222222224,32.7,24.904861111111114
2001,Massachusetts,16.153846153846153,6.3961538461538465,27.596153846153847,35.215384615384615,21.340384615384615
2001,Michigan,30.897959183673468,8.136054421768707,46.564625850340136,41.585034013605444,31.795918367346943
2001,Missouri,23.124153498871333,8.48081264108352,44.70880361173815,33.25056433408578,27.391083521444695
2001,Nevada,3.6739130434782608,1.576086956521739,31.543478260869566,16.58695652173913,13.345108695652172
2001,New Jersey,21.13203463203463,10.242424242424242,36.72077922077922,38.04761904761905,26.53571428571429
2001,New York,22.469750889679716,8.376334519572953,30.918149466192173,38.94661921708185,25.177713523131672
2001,North Carolina,17.74921630094044,7.8119122257053295,57.25705329153605,29.32601880877743,28.03605015673981
2001,Oklahoma,5.623604465709729,0.9346092503987241,47.31897926634769,17.556618819776716,17.858452950558217
2001,Pennsylvania,22.182181259600615,5.56405529953917,47.10568356374808,30.08294930875576,26.233717357910905
2001,Texas,8.946029298380878,7.64225134926754,37.69159599074788,31.61526599845798,21.47378565921357
2002,Arizona,6.842746400885936,13.655592469545958,36.72093023255814,43.52713178294574,25.186600221483943
2002,California,5.476738215055972,10.288487213720858,35.384307281503546,28.787511553866693,19.984261066036765
2002,Colorado,22.415441176470587,9.525735294117647,33.10294117647059,37.911764705882355,25.73897058823529
2002,District Of Columbia,23.912328767123288,17.15890410958904,37.345205479452055,39.8,29.554109589041094
2002,Florida,4.008264462809917,7.2809917355371905,33.815426997245176,23.1267217630854,17.05785123966942
2002,Illinois,21.296296296296298,9.670634920634921,35.11243386243386,34.148148148148145,25.056878306878303
2002,Indiana,20.1796875,6.609375,57.671875,33.4296875,29.47265625
2002,Kansas,6.002493765586035,5.882793017456359,35.9214463840399,17.159600997506235,16.241583541147133
2002,Kentucky,15.06540447504303,2.719449225473322,48.908777969018935,22.624784853700515,22.32960413080895
2002,Louisiana,13.918840579710144,10.942028985507246,32.26376811594203,31.344927536231886,22.117391304347827
2002,Massachusetts,16.497925311203318,10.58298755186722,28.307053941908713,38.697095435684645,23.521265560165972
2002,Michigan,18.45042492917847,6.7025495750708215,45.3371104815864,35.40793201133145,26.474504249291783
2002,Missouri,20.901408450704224,9.204225352112676,49.30046948356807,33.274647887323944,28.170187793427232
2002,Nevada,1.1522988505747127,1.1005747126436782,44.67528735632184,12.764367816091953,14.923132183908047
2002,New Hampshire,8.402173913043478,4.907608695652174,41.108695652173914,20.60326086956522,18.755434782608695
2002,New Jersey,19.680696661828737,9.226415094339623,37.944847605224965,38.46008708272859,26.32801161103048
2002,New York,20.665703275529864,7.48747591522158,34.4980732177264,38.22350674373796,25.21868978805395
2002,North Carolina,18.39647577092511,6.720264317180617,66.26431718061674,27.202643171806166,29.64592511013216
2002,Oklahoma,8.108695652173912,1.565217391304348,39.858695652173914,14.626086956521739,16.03967391304348
2002,Pennsylvania,20.600479185384845,4.45402815214136,49.1790955375861,27.80053908355795,25.508535489667562
2002,Tennessee,3.578082191780822,11.0,57.01917808219178,7.427397260273972,19.756164383561647
2002,Texas,2.708167330677291,6.805776892430279,41.2390438247012,31.79980079681275,20.63819721115538
2003,Arizona,6.568553459119497,12.241509433962264,35.48050314465409,41.89182389937107,24.045597484276726
2003,California,4.833297180043384,9.748373101952277,35.5885032537961,27.58600867678959,19.439045553145338
